run_id,mode,seed,phase,episode,reached_merge_zone,entered_main_lane,merge_completed,time_to_merge,final_position,final_lane,final_velocity,termination_reason
diag_egoistic_seed0,egoistic,0,train,0,1,1,1,42,101.105,0,4.0,merged
diag_egoistic_seed0,egoistic,0,train,1,1,1,1,20,162.094,0,12.605,merged
diag_egoistic_seed0,egoistic,0,train,2,1,1,1,15,110.556,0,10.871,merged
diag_egoistic_seed0,egoistic,0,train,3,1,1,1,24,101.429,0,7.022,merged
diag_egoistic_seed0,egoistic,0,train,4,1,1,0,,74.305,0,11.43,collision
diag_egoistic_seed0,egoistic,0,train,5,1,1,1,13,147.951,0,13.837,collision
diag_egoistic_seed0,egoistic,0,train,6,1,1,1,16,103.547,0,6.083,merged
diag_egoistic_seed0,egoistic,0,train,7,1,1,1,30,102.088,0,4.0,merged
diag_egoistic_seed0,egoistic,0,train,8,1,1,1,11,102.371,0,13.062,merged
diag_egoistic_seed0,egoistic,0,train,9,1,1,1,17,209.367,0,15.0,collision
diag_egoistic_seed0,egoistic,0,train,10,1,1,1,13,158.82,0,15.0,merged
diag_egoistic_seed0,egoistic,0,train,11,1,1,1,14,102.93,0,5.45,merged
diag_egoistic_seed0,egoistic,0,train,12,1,1,1,12,109.443,0,13.067,merged
diag_egoistic_seed0,egoistic,0,train,13,1,1,1,18,103.489,0,4.0,merged
diag_egoistic_seed0,egoistic,0,train,14,1,1,1,14,114.93,0,12.016,merged
diag_egoistic_seed0,egoistic,0,train,15,1,1,1,21,229.39,0,15.0,merged
diag_egoistic_seed0,egoistic,0,train,16,1,1,1,16,102.966,0,8.091,merged
diag_egoistic_seed0,egoistic,0,train,17,1,1,1,13,109.681,0,10.136,merged
diag_egoistic_seed0,egoistic,0,train,18,1,1,1,10,123.695,0,15.0,collision
diag_egoistic_seed0,egoistic,0,train,19,1,1,1,14,104.337,0,8.276,merged
diag_egoistic_seed0,egoistic,0,train,20,1,1,1,12,104.495,0,9.632,merged
diag_egoistic_seed0,egoistic,0,train,21,1,1,1,14,101.815,0,8.043,merged
diag_egoistic_seed0,egoistic,0,train,22,1,1,0,,82.234,0,13.718,collision
diag_egoistic_seed0,egoistic,0,train,23,1,1,1,14,107.562,0,10.565,merged
diag_egoistic_seed0,egoistic,0,train,24,1,1,1,31,337.96,0,7.0,merged
diag_egoistic_seed0,egoistic,0,eval,0,1,1,1,15,100.816,0,5.187,merged
diag_egoistic_seed0,egoistic,0,eval,1,1,1,1,16,100.519,0,3.999,merged
diag_egoistic_seed0,egoistic,0,eval,2,1,1,1,22,102.705,0,2.83,merged
diag_egoistic_seed0,egoistic,0,eval,3,1,1,1,16,102.23,0,6.114,merged
diag_egoistic_seed0,egoistic,0,eval,4,1,1,1,16,104.894,0,5.153,merged
diag_egoistic_seed0,egoistic,0,eval,5,1,0,0,,198.011,1,0.0,truncated
diag_egoistic_seed0,egoistic,0,eval,6,1,1,1,18,102.892,0,4.461,merged
diag_egoistic_seed0,egoistic,0,eval,7,1,1,1,18,104.144,0,4.342,merged
diag_egoistic_seed0,egoistic,0,eval,8,1,0,0,,204.235,1,0.0,truncated
diag_egoistic_seed0,egoistic,0,eval,9,1,0,0,,193.97,1,0.0,truncated
diag_rawlsian_seed0,rawlsian,0,train,0,1,1,1,42,101.105,0,4.0,merged
diag_rawlsian_seed0,rawlsian,0,train,1,1,1,1,20,162.094,0,12.605,merged
diag_rawlsian_seed0,rawlsian,0,train,2,1,1,1,15,110.556,0,10.871,merged
diag_rawlsian_seed0,rawlsian,0,train,3,1,1,1,24,101.429,0,7.022,merged
diag_rawlsian_seed0,rawlsian,0,train,4,1,1,0,,74.305,0,11.43,collision
diag_rawlsian_seed0,rawlsian,0,train,5,1,1,1,13,166.928,0,15.0,merged
diag_rawlsian_seed0,rawlsian,0,train,6,1,1,1,13,125.296,0,14.083,merged
diag_rawlsian_seed0,rawlsian,0,train,7,1,1,1,32,100.429,0,4.0,merged
diag_rawlsian_seed0,rawlsian,0,train,8,1,1,1,14,111.556,0,13.062,merged
diag_rawlsian_seed0,rawlsian,0,train,9,1,1,1,15,178.634,0,15.0,merged
diag_rawlsian_seed0,rawlsian,0,train,10,1,1,1,13,158.82,0,15.0,merged
diag_rawlsian_seed0,rawlsian,0,train,11,1,1,1,9,119.432,0,13.0,merged
diag_rawlsian_seed0,rawlsian,0,train,12,1,1,1,13,166.24,0,15.0,merged
diag_rawlsian_seed0,rawlsian,0,train,13,1,1,0,,93.9,0,15.0,collision
diag_rawlsian_seed0,rawlsian,0,train,14,1,1,1,13,114.881,0,15.0,merged
diag_rawlsian_seed0,rawlsian,0,train,15,1,1,1,10,124.605,0,15.0,merged
diag_rawlsian_seed0,rawlsian,0,train,16,1,1,0,,86.237,0,14.091,collision
diag_rawlsian_seed0,rawlsian,0,train,17,1,1,1,21,253.137,0,15.0,merged
diag_rawlsian_seed0,rawlsian,0,train,18,1,1,1,10,100.423,0,14.364,merged
diag_rawlsian_seed0,rawlsian,0,train,19,1,1,0,,96.679,0,14.276,collision
diag_rawlsian_seed0,rawlsian,0,train,20,1,1,1,11,106.864,0,11.632,merged
diag_rawlsian_seed0,rawlsian,0,train,21,1,1,1,10,131.469,0,15.0,merged
diag_rawlsian_seed0,rawlsian,0,train,22,1,1,1,12,110.826,0,11.718,merged
diag_rawlsian_seed0,rawlsian,0,train,23,1,1,1,16,215.738,0,15.0,merged
diag_rawlsian_seed0,rawlsian,0,train,24,1,1,0,,76.639,0,12.44,collision
diag_rawlsian_seed0,rawlsian,0,eval,0,1,0,0,,897.569,1,15.0,truncated
diag_rawlsian_seed0,rawlsian,0,eval,1,1,0,0,,895.529,1,15.0,truncated
diag_rawlsian_seed0,rawlsian,0,eval,2,1,0,0,,891.77,1,15.0,truncated
diag_rawlsian_seed0,rawlsian,0,eval,3,1,0,0,,888.857,1,15.0,truncated
diag_rawlsian_seed0,rawlsian,0,eval,4,1,0,0,,894.911,1,15.0,truncated
diag_rawlsian_seed0,rawlsian,0,eval,5,1,0,0,,898.747,1,15.0,truncated
diag_rawlsian_seed0,rawlsian,0,eval,6,1,0,0,,890.432,1,15.0,truncated
diag_rawlsian_seed0,rawlsian,0,eval,7,1,0,0,,889.354,1,15.0,truncated
diag_rawlsian_seed0,rawlsian,0,eval,8,1,0,0,,897.632,1,15.0,truncated
diag_rawlsian_seed0,rawlsian,0,eval,9,1,0,0,,891.03,1,15.0,truncated
diag_egoistic_seed0,egoistic,0,train,0,1,1,1,42,101.105,0,4.0,merged
diag_egoistic_seed0,egoistic,0,train,1,1,1,1,20,162.094,0,12.605,merged
diag_egoistic_seed0,egoistic,0,train,2,1,1,1,14,101.686,0,10.871,merged
diag_egoistic_seed0,egoistic,0,train,3,1,1,1,19,104.32,0,7.022,merged
diag_egoistic_seed0,egoistic,0,train,4,1,1,0,,89.164,0,11.43,collision
diag_egoistic_seed0,egoistic,0,train,5,1,1,1,12,100.114,0,11.837,merged
diag_egoistic_seed0,egoistic,0,train,6,1,1,0,,80.796,0,12.083,collision
diag_egoistic_seed0,egoistic,0,train,7,1,1,1,12,103.747,0,11.447,merged
diag_egoistic_seed0,egoistic,0,train,8,1,1,1,38,103.062,0,4.0,merged
diag_egoistic_seed0,egoistic,0,train,9,1,1,1,11,103.902,0,10.268,collision
diag_egoistic_seed0,egoistic,0,train,10,1,1,1,12,110.308,0,13.498,merged
diag_egoistic_seed0,egoistic,0,train,11,1,1,0,,97.681,0,13.45,collision
diag_egoistic_seed0,egoistic,0,train,12,1,1,1,21,107.05,0,7.067,merged
diag_egoistic_seed0,egoistic,0,train,13,1,1,0,,83.763,0,11.931,collision
