formal_job_id,condition,master_seed,environment_seed,learner_A_seed,learner_B_seed,replay_A_seed,replay_B_seed,evaluation_seed,schedule_seed,protocol_hash,environment_lock_hash,comfort_lock_hash,expected_steps,expected_evaluation_points,expected_checkpoint_points,expected_output_directory,status_planned
mean_pbrs__61002,mean_pbrs,61002,61002,161002,261002,361002,461002,561002,661002,44d5e647cf97bf9c6ce6e863320b669e8e69e1200871155e12929b60682dddc2,d2d82ac02feb5bb2f5217f8e399972b91bd56cce343f60861954f66d7f70bf12,1d9439c211955f9a8a177e455b6b5ff34aa98f85f3ff0677bbd62abd6d29b061,100000,0;10000;25000;50000;75000;100000,10000;25000;50000;75000;100000,<output-root>/jobs/mean_pbrs__61002,PENDING
mean_pbrs__61003,mean_pbrs,61003,61003,161003,261003,361003,461003,561003,661003,44d5e647cf97bf9c6ce6e863320b669e8e69e1200871155e12929b60682dddc2,d2d82ac02feb5bb2f5217f8e399972b91bd56cce343f60861954f66d7f70bf12,1d9439c211955f9a8a177e455b6b5ff34aa98f85f3ff0677bbd62abd6d29b061,100000,0;10000;25000;50000;75000;100000,10000;25000;50000;75000;100000,<output-root>/jobs/mean_pbrs__61003,PENDING
mean_pbrs__61004,mean_pbrs,61004,61004,161004,261004,361004,461004,561004,661004,44d5e647cf97bf9c6ce6e863320b669e8e69e1200871155e12929b60682dddc2,d2d82ac02feb5bb2f5217f8e399972b91bd56cce343f60861954f66d7f70bf12,1d9439c211955f9a8a177e455b6b5ff34aa98f85f3ff0677bbd62abd6d29b061,100000,0;10000;25000;50000;75000;100000,10000;25000;50000;75000;100000,<output-root>/jobs/mean_pbrs__61004,PENDING
mean_pbrs__61005,mean_pbrs,61005,61005,161005,261005,361005,461005,561005,661005,44d5e647cf97bf9c6ce6e863320b669e8e69e1200871155e12929b60682dddc2,d2d82ac02feb5bb2f5217f8e399972b91bd56cce343f60861954f66d7f70bf12,1d9439c211955f9a8a177e455b6b5ff34aa98f85f3ff0677bbd62abd6d29b061,100000,0;10000;25000;50000;75000;100000,10000;25000;50000;75000;100000,<output-root>/jobs/mean_pbrs__61005,PENDING
mean_pbrs__61006,mean_pbrs,61006,61006,161006,261006,361006,461006,561006,661006,44d5e647cf97bf9c6ce6e863320b669e8e69e1200871155e12929b60682dddc2,d2d82ac02feb5bb2f5217f8e399972b91bd56cce343f60861954f66d7f70bf12,1d9439c211955f9a8a177e455b6b5ff34aa98f85f3ff0677bbd62abd6d29b061,100000,0;10000;25000;50000;75000;100000,10000;25000;50000;75000;100000,<output-root>/jobs/mean_pbrs__61006,PENDING
mean_pbrs__61007,mean_pbrs,61007,61007,161007,261007,361007,461007,561007,661007,44d5e647cf97bf9c6ce6e863320b669e8e69e1200871155e12929b60682dddc2,d2d82ac02feb5bb2f5217f8e399972b91bd56cce343f60861954f66d7f70bf12,1d9439c211955f9a8a177e455b6b5ff34aa98f85f3ff0677bbd62abd6d29b061,100000,0;10000;25000;50000;75000;100000,10000;25000;50000;75000;100000,<output-root>/jobs/mean_pbrs__61007,PENDING
mean_pbrs__61008,mean_pbrs,61008,61008,161008,261008,361008,461008,561008,661008,44d5e647cf97bf9c6ce6e863320b669e8e69e1200871155e12929b60682dddc2,d2d82ac02feb5bb2f5217f8e399972b91bd56cce343f60861954f66d7f70bf12,1d9439c211955f9a8a177e455b6b5ff34aa98f85f3ff0677bbd62abd6d29b061,100000,0;10000;25000;50000;75000;100000,10000;25000;50000;75000;100000,<output-root>/jobs/mean_pbrs__61008,PENDING
mean_pbrs__61009,mean_pbrs,61009,61009,161009,261009,361009,461009,561009,661009,44d5e647cf97bf9c6ce6e863320b669e8e69e1200871155e12929b60682dddc2,d2d82ac02feb5bb2f5217f8e399972b91bd56cce343f60861954f66d7f70bf12,1d9439c211955f9a8a177e455b6b5ff34aa98f85f3ff0677bbd62abd6d29b061,100000,0;10000;25000;50000;75000;100000,10000;25000;50000;75000;100000,<output-root>/jobs/mean_pbrs__61009,PENDING
mean_pbrs__61010,mean_pbrs,61010,61010,161010,261010,361010,461010,561010,661010,44d5e647cf97bf9c6ce6e863320b669e8e69e1200871155e12929b60682dddc2,d2d82ac02feb5bb2f5217f8e399972b91bd56cce343f60861954f66d7f70bf12,1d9439c211955f9a8a177e455b6b5ff34aa98f85f3ff0677bbd62abd6d29b061,100000,0;10000;25000;50000;75000;100000,10000;25000;50000;75000;100000,<output-root>/jobs/mean_pbrs__61010,PENDING
min_pbrs__61001,min_pbrs,61001,61001,161001,261001,361001,461001,561001,661001,44d5e647cf97bf9c6ce6e863320b669e8e69e1200871155e12929b60682dddc2,d2d82ac02feb5bb2f5217f8e399972b91bd56cce343f60861954f66d7f70bf12,1d9439c211955f9a8a177e455b6b5ff34aa98f85f3ff0677bbd62abd6d29b061,100000,0;10000;25000;50000;75000;100000,10000;25000;50000;75000;100000,<output-root>/jobs/min_pbrs__61001,PENDING
min_pbrs__61002,min_pbrs,61002,61002,161002,261002,361002,461002,561002,661002,44d5e647cf97bf9c6ce6e863320b669e8e69e1200871155e12929b60682dddc2,d2d82ac02feb5bb2f5217f8e399972b91bd56cce343f60861954f66d7f70bf12,1d9439c211955f9a8a177e455b6b5ff34aa98f85f3ff0677bbd62abd6d29b061,100000,0;10000;25000;50000;75000;100000,10000;25000;50000;75000;100000,<output-root>/jobs/min_pbrs__61002,PENDING
min_pbrs__61003,min_pbrs,61003,61003,161003,261003,361003,461003,561003,661003,44d5e647cf97bf9c6ce6e863320b669e8e69e1200871155e12929b60682dddc2,d2d82ac02feb5bb2f5217f8e399972b91bd56cce343f60861954f66d7f70bf12,1d9439c211955f9a8a177e455b6b5ff34aa98f85f3ff0677bbd62abd6d29b061,100000,0;10000;25000;50000;75000;100000,10000;25000;50000;75000;100000,<output-root>/jobs/min_pbrs__61003,PENDING
min_pbrs__61004,min_pbrs,61004,61004,161004,261004,361004,461004,561004,661004,44d5e647cf97bf9c6ce6e863320b669e8e69e1200871155e12929b60682dddc2,d2d82ac02feb5bb2f5217f8e399972b91bd56cce343f60861954f66d7f70bf12,1d9439c211955f9a8a177e455b6b5ff34aa98f85f3ff0677bbd62abd6d29b061,100000,0;10000;25000;50000;75000;100000,10000;25000;50000;75000;100000,<output-root>/jobs/min_pbrs__61004,PENDING
min_pbrs__61005,min_pbrs,61005,61005,161005,261005,361005,461005,561005,661005,44d5e647cf97bf9c6ce6e863320b669e8e69e1200871155e12929b60682dddc2,d2d82ac02feb5bb2f5217f8e399972b91bd56cce343f60861954f66d7f70bf12,1d9439c211955f9a8a177e455b6b5ff34aa98f85f3ff0677bbd62abd6d29b061,100000,0;10000;25000;50000;75000;100000,10000;25000;50000;75000;100000,<output-root>/jobs/min_pbrs__61005,PENDING
min_pbrs__61006,min_pbrs,61006,61006,161006,261006,361006,461006,561006,661006,44d5e647cf97bf9c6ce6e863320b669e8e69e1200871155e12929b60682dddc2,d2d82ac02feb5bb2f5217f8e399972b91bd56cce343f60861954f66d7f70bf12,1d9439c211955f9a8a177e455b6b5ff34aa98f85f3ff0677bbd62abd6d29b061,100000,0;10000;25000;50000;75000;100000,10000;25000;50000;75000;100000,<output-root>/jobs/min_pbrs__61006,PENDING
min_pbrs__61007,min_pbrs,61007,61007,161007,261007,361007,461007,561007,661007,44d5e647cf97bf9c6ce6e863320b669e8e69e1200871155e12929b60682dddc2,d2d82ac02feb5bb2f5217f8e399972b91bd56cce343f60861954f66d7f70bf12,1d9439c211955f9a8a177e455b6b5ff34aa98f85f3ff0677bbd62abd6d29b061,100000,0;10000;25000;50000;75000;100000,10000;25000;50000;75000;100000,<output-root>/jobs/min_pbrs__61007,PENDING
min_pbrs__61008,min_pbrs,61008,61008,161008,261008,361008,461008,561008,661008,44d5e647cf97bf9c6ce6e863320b669e8e69e1200871155e12929b60682dddc2,d2d82ac02feb5bb2f5217f8e399972b91bd56cce343f60861954f66d7f70bf12,1d9439c211955f9a8a177e455b6b5ff34aa98f85f3ff0677bbd62abd6d29b061,100000,0;10000;25000;50000;75000;100000,10000;25000;50000;75000;100000,<output-root>/jobs/min_pbrs__61008,PENDING
min_pbrs__61009,min_pbrs,61009,61009,161009,261009,361009,461009,561009,661009,44d5e647cf97bf9c6ce6e863320b669e8e69e1200871155e12929b60682dddc2,d2d82ac02feb5bb2f5217f8e399972b91bd56cce343f60861954f66d7f70bf12,1d9439c211955f9a8a177e455b6b5ff34aa98f85f3ff0677bbd62abd6d29b061,100000,0;10000;25000;50000;75000;100000,10000;25000;50000;75000;100000,<output-root>/jobs/min_pbrs__61009,PENDING
min_pbrs__61010,min_pbrs,61010,61010,161010,261010,361010,461010,561010,661010,44d5e647cf97bf9c6ce6e863320b669e8e69e1200871155e12929b60682dddc2,d2d82ac02feb5bb2f5217f8e399972b91bd56cce343f60861954f66d7f70bf12,1d9439c211955f9a8a177e455b6b5ff34aa98f85f3ff0677bbd62abd6d29b061,100000,0;10000;25000;50000;75000;100000,10000;25000;50000;75000;100000,<output-root>/jobs/min_pbrs__61010,PENDING
